City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,American Indian and Alaska Native,Asian,Black or African-American,Hispanic or Latino,White
Abilene,Texas,31.3,65212,60664,125876,9367,8129,2.64,TX,1813,2929,14449,33222,95487
Akron,Ohio,38.1,96886,100667,197553,12878,10024,2.24,OH,1845,9033,66551,3684,129192
Alafaya,Florida,33.5,39504,45760,85264,4176,15842,2.94,FL,"",10336,6577,34897,63666
Alameda,California,41.4,37747,40867,78614,4504,18841,2.52,CA,1329,27984,7364,8265,44232
Albany,Georgia,33.3,31695,39414,71109,5409,861,2.38,GA,445,650,53440,1783,17160
Albany,New York,32.8,47627,50825,98452,3643,11948,2.08,NY,1611,8090,31303,9368,58368
Albuquerque,New Mexico,36,273323,285808,559131,37443,58200,2.49,NM,32243,25140,26774,271854,411847
Alexandria,Virginia,36.6,74989,78522,153511,10635,44030,2.2,VA,1133,13315,37168,25573,106215
Alhambra,California,41,42184,43388,85572,1673,44441,2.89,CA,687,44067,1905,31386,20811
Allen,Pennsylvania,33.5,60626,59581,120207,5691,19652,2.67,PA,1076,2670,22304,59176,74187
Allen,Texas,37.2,51324,46814,98138,3505,19649,3.04,TX,227,15790,13140,10615,69840
Amarillo,Texas,33.8,99391,100260,199651,11008,21124,2.64,TX,4260,8563,14050,65392,174214
Ames,Iowa,23,33814,31238,65052,2265,8606,2.16,IA,"",8979,1103,2024,56157
Anaheim,California,33.6,179603,171135,350738,9796,137133,3.45,CA,2489,53270,9775,201593,259820
Anchorage,Alaska,32.2,152945,145750,298695,27492,33258,2.77,AK,36339,36825,23107,27261,212696
Ann Arbor,Michigan,28.1,58789,58281,117070,3614,20717,2.17,MI,1935,18797,9577,5888,90173
Antioch,California,34,54733,55809,110542,5681,24942,3.31,CA,3462,14333,23227,35563,51151
Apple Valley,California,34.3,32873,39312,72185,5714,5801,3.03,CA,1446,2281,9124,25928,60767
Appleton,Wisconsin,35.6,37217,38038,75255,4219,4454,2.49,WI,835,5561,3407,5139,64674
Arden-Arcade,California,41.5,47596,48680,96276,6511,13458,2.18,CA,2587,7355,13647,15273,69369
Arlington,Texas,32.6,191060,197062,388122,17050,79271,2.89,TX,2918,31804,92955,112078,251155
Arlington,Virginia,34.4,113981,115183,229164,12719,55205,2.19,VA,845,28595,22372,35911,171673
Arlington Heights,Illinois,45.9,37627,39369,76996,3027,14630,2.38,IL,"",9975,1222,2742,66285
Arvada,Colorado,41,54870,60165,115035,8930,4921,2.49,CO,2370,2922,2985,16419,107639
Asheville,North Carolina,37.9,42100,46407,88507,4973,6630,2.18,NC,496,1939,9078,4146,77979
Atascocita,Texas,32.8,37424,40816,78240,4416,8657,3.03,TX,1024,2441,21491,20441,50630
Athens-Clarke County unified government,Georgia,26.5,57415,65148,122563,3953,12868,2.44,GA,593,6635,34583,13159,79931
Atlanta,Georgia,33.8,223960,239915,463875,18572,32016,2.15,GA,4606,24268,245367,18653,196316
Auburn,Washington,37.1,36837,39743,76580,5401,14842,2.73,WA,3042,12341,4032,10836,58293
Augusta-Richmond County consolidated government,Georgia,33.7,94662,101917,196579,19085,7915,2.67,GA,1667,4429,112271,9068,77940
Aurora,Colorado,34.2,177899,180971,358870,25158,65816,2.82,CO,8277,24673,61894,109396,239803
Aurora,Illinois,31.7,101964,101751,203715,4988,50980,3.3,IL,1179,17190,23736,86653,115903
Austin,Texas,32.7,475718,456122,931840,37414,181686,2.5,TX,10890,78916,81861,327680,708171
Avondale,Arizona,29.1,38712,41971,80683,4815,8355,3.18,AZ,613,2828,11592,34716,62176
Bakersfield,California,30.6,182154,191473,373627,12284,71575,3.23,CA,7357,31929,34240,180241,272853
Baldwin Park,California,35.8,38747,38309,77056,780,34322,4.13,CA,316,15505,1560,56282,36890
Baltimore,Maryland,34.7,294027,327822,621849,29540,49857,2.51,MD,7730,20161,396270,29953,207274
Baton Rouge,Louisiana,31.2,111492,117104,228596,10633,12268,2.52,LA,1119,7442,122634,7428,96730
Bay,Texas,32.9,37977,37508,75485,3478,13192,2.59,TX,2167,2819,16782,31672,48797
BayamÃÂÃÂ³n,Puerto Rico,39.4,80128,90131,170259,"","","",PR,"","","",169155,""
Bayonne,New Jersey,39.7,32705,33598,66303,2225,21899,2.62,NJ,"",7171,7581,19525,41431
Beaumont,Texas,31.6,57326,60784,118110,7584,10516,2.47,TX,908,4079,58008,18815,53597
Beaverton,Oregon,35.6,47325,49252,96577,4645,18933,2.46,OR,905,10538,3100,15452,80975
Bellevue,Washington,37.4,70763,69051,139814,5382,54654,2.43,WA,1949,52223,4151,12215,82378
Bellflower,California,33.4,38936,39498,78434,2154,24607,3.58,CA,783,10764,12839,42472,23336
Bellingham,Washington,30.7,41286,43857,85143,4703,8713,2.44,WA,2056,8010,2325,6966,74183
Bend,Oregon,37.3,42294,44723,87017,6199,3032,2.39,OR,1818,2726,465,8173,83689
Berkeley,California,32.5,60142,60829,120971,3736,25000,2.35,CA,1868,27089,11255,15429,82949
Bethlehem,Pennsylvania,35.1,35861,38506,74367,4704,6295,2.46,PA,"",3759,7821,23409,64526
Billings,Montana,36.3,52705,57565,110270,9121,3206,2.4,MT,6066,1873,2200,7526,102522
Birmingham,Alabama,35.6,102122,112789,214911,13212,8258,2.21,AL,1319,1500,157985,8940,51728
Bismarck,North Dakota,38,34675,35565,70240,4145,2064,2.11,ND,4040,930,1700,1667,64719
Bk,California,37,50405,54909,105314,4048,32435,2.52,CA,1639,14636,4729,22089,79582
Bloomington,Illinois,35.1,37972,40323,78295,3888,7287,2.34,IL,182,6549,11240,3461,60652
Bloomington,Indiana,23.5,40588,43227,83815,2368,10033,2.33,IN,912,9801,5133,3643,71200
Bloomington,Minnesota,40.9,43318,43118,86436,6176,10728,2.3,MN,1745,4689,5828,8021,71874
Boca Raton,Florida,47.3,44760,48466,93226,4367,21117,2.22,FL,556,2494,4527,14735,80781
Boise,Idaho,34.9,110099,108181,218280,16004,13409,2.61,ID,4046,9806,4413,19480,204913
Bolingbrook,Illinois,33.7,36295,35801,72096,2951,15212,3.42,IL,323,9788,12671,16904,40458
Bossier City,Louisiana,32.7,33428,34669,68097,8108,2980,2.4,LA,630,2175,19520,5589,47454
Boston,Massachusetts,31.8,322149,347320,669469,18350,190123,2.38,MA,5580,69976,189347,130656,378543
Boulder,Colorado,29,56342,51000,107342,4061,12993,2.24,CO,767,8772,1615,9795,98243
Boynton Beach,Florida,45.8,33701,40271,73972,4727,15431,2.45,FL,"",2114,20616,12553,49704
Brandon,Florida,36.1,55679,58289,113968,9417,16390,2.64,FL,1921,9440,23475,26224,80811
Brentwood,New York,34.2,31395,32397,63792,1492,27058,4.98,NY,4242,1647,8619,40111,46347
Bridgeport,Connecticut,34.1,71509,76110,147619,4646,44475,2.86,CT,2527,8546,53770,59036,68007
Brockton,Massachusetts,35.2,46273,49041,95314,3036,27313,2.88,MA,881,2528,43646,10890,40110
Broken Arrow,Oklahoma,36.8,52136,55459,107595,6797,6845,2.77,OK,11963,4206,7198,9191,94366
Brooklyn Park,Minnesota,35.1,37845,41305,79150,3506,17490,2.85,MN,1173,14443,22550,4138,41760
Broomfield,Colorado,36.8,31755,33310,65065,3966,5316,2.53,CO,601,5193,1154,8065,58341
Brownsville,Texas,30.6,87689,96199,183888,4211,53301,3.48,TX,1165,1589,1239,170041,174670
Bryan,Texas,29.4,41761,40345,82106,3602,12014,2.55,TX,3557,2688,11914,29647,59742
Buena Park,California,35.7,41593,41671,83264,3116,28430,3.55,CA,361,24624,901,32915,48412
Buffalo,New York,33.1,124537,133529,258066,11231,24630,2.27,NY,4406,14518,101254,29656,130078
Caguas,Puerto Rico,40.4,34743,42265,77008,"","","",PR,624,"","",76349,""
Camarillo,California,40.8,31941,35682,67623,4384,9735,2.77,CA,742,7198,1219,16186,59702
Cambridge,Massachusetts,31.5,55421,54981,110402,2495,27757,2.06,MA,906,18441,11880,9433,80551
Camden,New Jersey,27.9,36437,39694,76131,1425,11317,3,NJ,"",1686,35237,41473,19907
Canton,Ohio,33.4,34476,37419,71895,3404,2204,2.32,OH,358,"",21353,3597,53571
Cape Coral,Florida,45,85626,89604,175230,14446,24185,2.85,FL,1040,3314,7311,33016,163396
Carlsbad,California,42.1,55119,58347,113466,6031,17689,2.68,CA,1513,11948,876,12969,98705
Carmel,Indiana,39.9,42928,46101,89029,2723,9645,2.71,IN,"",11223,2171,3111,77178
Carmichael,California,41,29281,33934,63215,4225,7378,2.39,CA,2603,4205,4675,9291,55862
Carolina,Puerto Rico,42,64758,77308,142066,"","","",PR,12143,"","",139967,""
Carrollton,Texas,36.9,66928,66218,133146,5720,35327,2.78,TX,812,18456,10923,46850,102948
Carson,California,40.4,43790,49506,93296,4273,33860,3.7,CA,2119,31706,19947,32938,28801
Cary,North Carolina,39.9,78932,81582,160514,7426,30008,2.61,NC,1752,25124,15496,10327,119814
Casas Adobes,Arizona,44.8,30890,34375,65265,6601,7024,2.24,AZ,2047,3009,1854,13609,58956
Cedar Park,Texas,34.4,31248,33589,64837,3090,5207,3.05,TX,219,5654,3667,11872,56991
Cedar Rapids,Iowa,36.2,63109,67296,130405,7823,5404,2.32,IA,1243,5406,11921,5328,116851
Centennial,Colorado,42.4,53222,56504,109726,7226,9501,2.66,CO,1219,7041,4005,8086,98174
Centreville,Virginia,36,34749,37033,71782,3779,27797,2.97,VA,355,25058,6724,9613,39129
Champaign,Illinois,28.7,43326,42760,86086,3734,12261,2.25,IL,"",11746,16163,4015,58099
Chandler,Arizona,35.6,128885,131948,260833,15870,38721,2.78,AZ,6601,33079,16163,57159,207993
Charleston,South Carolina,35,63956,71568,135524,9368,5767,2.4,SC,633,2773,29998,3929,104016
Charlotte,North Carolina,34.3,396646,430475,827121,36046,128897,2.52,NC,8746,55399,301568,113731,446795
Chattanooga,Tennessee,36.6,83640,92957,176597,10001,10599,2.4,TN,1092,4602,59918,10918,114140
Cheektowaga,New York,40.7,37476,38599,76075,5408,3532,2.3,NY,"",1584,10562,1994,63541
Chesapeake,Virginia,36.7,114964,120465,235429,29772,13966,2.73,VA,2087,11354,73850,12959,150414
Chicago,Illinois,34.2,1320015,1400541,2720556,72042,573463,2.53,IL,23323,195084,873316,785725,1374535
Chico,California,29.9,46168,44168,90336,4519,8425,2.5,CA,2766,6101,3164,15578,80467
Chino,California,36.5,50989,34610,85599,4186,18666,3.62,CA,4790,12948,6815,45495,44543
Chino Hills,California,41.9,39639,38674,78313,3358,24764,3.05,CA,1773,28132,3506,22539,40030
Chula Vista,California,34.6,131485,134269,265754,12368,82710,3.32,CA,1652,48506,15641,156522,183753
Cicero,Illinois,28.5,43153,40714,83867,629,33801,3.89,IL,964,1193,2865,76425,30824
Cincinnati,Ohio,32.7,143654,154883,298537,13699,16896,2.08,OH,3362,7633,133430,9121,162245
Citrus Heights,California,37.8,41982,45071,87053,6171,9466,2.49,CA,1514,3615,5979,14661,77525
Clarksville,Tennessee,29.7,75029,74161,149190,20803,8211,2.64,TN,2338,6348,39445,16004,104626
Clearwater,Florida,47,55225,57754,112979,10631,17686,2.4,FL,867,2434,12369,17211,97195
Cleveland,Ohio,36,186436,201623,388059,19849,18830,2.24,OH,6140,10102,205395,40603,166958
Clifton,New Jersey,38.5,41932,44409,86341,2603,27979,3.11,NJ,2417,5840,8743,33176,51516
Clovis,California,37.8,52392,51780,104172,6173,13409,2.76,CA,1876,14249,3434,23744,78029
College Station,Texas,22.9,54125,53774,107899,2471,16145,2.52,TX,605,10915,11316,17784,84892
Colorado Springs,Colorado,34.8,225544,231018,456562,49291,35320,2.48,CO,11146,22619,38976,78711,374900
Columbia,Maryland,37.9,52202,51265,103467,6526,23249,2.68,MD,488,17821,30075,8033,58343
Columbia,Missouri,26.8,56544,62554,119098,4548,10729,2.37,MO,1713,8673,15489,4956,96067
Columbia,South Carolina,28,67686,65707,133393,5708,6074,2.32,SC,1420,3501,56398,7545,73232
Columbus,Georgia,33.7,98785,101794,200579,21747,10376,2.62,GA,1343,7039,95366,15180,97436
Columbus,Ohio,32.5,413981,435086,849067,40238,101129,2.4,OH,11496,48974,256764,46855,549468
Compton,California,30.1,49264,49184,98448,897,30660,4.08,CA,298,1732,26395,67523,53919
Concord,California,39.6,62310,66358,128668,6287,37428,2.72,CA,1447,17453,6150,41400,92575
Concord,North Carolina,35.7,42732,44961,87693,4621,8847,2.72,NC,216,3566,19027,11301,60500
Conroe,Texas,31.5,34907,33685,68592,4871,13839,2.65,TX,707,2302,6713,23863,57480
Coral Springs,Florida,37.2,63316,66186,129502,4724,38552,3.17,FL,1262,6573,27225,40817,90896
Corona,California,37.1,79749,84493,164242,7709,42131,2.97,CA,2268,21044,9437,68592,119403
Corpus Christi,Texas,35,160488,163594,324082,25078,30834,2.69,TX,2972,9051,14978,200737,292663
Costa Mesa,California,34.8,59097,54089,113186,4095,26645,2.59,CA,1961,9165,2925,38239,87320
Cranston,Rhode Island,39.9,38365,42712,81077,4702,10631,2.56,RI,839,5978,8193,10418,64806
Dale City,Virginia,33.4,35984,35415,71399,6085,22306,3.65,VA,548,9251,18074,23868,34640
Dallas,Texas,32.6,639019,661063,1300082,41026,326825,2.59,TX,17510,47099,322570,549966,839169
Daly City,California,39.7,53817,52757,106574,3782,56640,3.26,CA,893,61918,5401,24316,25522
Danbury,Connecticut,37.3,43435,41227,84662,3752,25675,2.74,CT,1086,7350,8454,25145,55917
Davenport,Iowa,35.2,50123,52454,102577,7090,4065,2.39,IA,901,3071,12761,9131,88145
Davie,Florida,40.8,48754,52140,100894,4655,26532,2.72,FL,464,4581,11005,35311,79832
Davis,California,26.3,33493,34163,67656,2176,13997,2.69,CA,779,17816,2081,9041,47997
Dayton,Ohio,32.8,66631,73966,140597,8465,7381,2.26,OH,2010,1885,57280,4945,86016
Dearborn,Michigan,33.5,46482,48698,95180,3163,23920,3.04,MI,713,4134,3699,3533,88742
Decatur,Illinois,40.4,34646,38210,72856,5291,1224,2.23,IL,265,1343,17939,1709,56231
Deerfield Beach,Florida,41.4,37155,42614,79769,3882,23642,2.46,FL,698,1428,25344,12729,53037
Delray Beach,Florida,47.9,32219,34042,66261,4232,16639,2.35,FL,"",1696,21138,6397,40980
Deltona,Florida,39.9,44853,43621,88474,5664,7098,2.89,FL,651,1292,12056,31357,75686
Denton,Texas,28.7,62478,68569,131047,6352,18451,2.66,TX,1857,7061,15542,29350,106278
Denver,Colorado,34.1,341137,341408,682545,29363,113222,2.33,CO,14008,32491,72288,207847,546370
Des Moines,Iowa,34.5,103726,106591,210317,11780,23857,2.41,IA,3964,15205,26353,25306,168057
Detroit,Michigan,34.8,319265,357859,677124,29511,39861,2.6,MI,6007,10804,545988,53980,104260
Dothan,Alabama,38.9,32172,35364,67536,6334,1699,2.59,AL,656,1175,23243,1704,43516
Downey,California,37.3,53006,61205,114211,2281,39977,3.45,CA,535,9776,5498,84806,77220
Duluth,Minnesota,34.7,41271,44855,86126,5015,2258,2.25,MN,1894,1721,3891,1981,81720
Durham,North Carolina,33.2,121153,136445,257598,12528,38642,2.4,NC,3154,15740,108088,36304,127680
Eagan,Minnesota,36.8,31587,34701,66288,2699,8642,2.49,MN,684,6923,8032,4328,52612
East Los Angeles,California,32.6,60460,59206,119666,1101,49575,3.75,CA,778,1053,508,116211,48980
East Orange,New Jersey,35.5,29995,34967,64962,1870,15164,2.85,NJ,535,656,57859,6368,3165
Eau Claire,Wisconsin,32,32327,35106,67433,3261,2833,2.4,WI,876,4202,725,1488,62194
Edinburg,Texas,29.3,39422,45079,84501,2409,16569,3.31,TX,"",812,"",74698,77560
Edmond,Oklahoma,32.5,45191,44899,90090,5006,5585,2.68,OK,8051,5349,4987,6187,78979
El Cajon,California,32.7,54450,49238,103688,7103,31865,3.14,CA,1891,4561,7534,31542,84703
El Monte,California,37.3,57961,58784,116745,1686,59655,3.67,CA,718,33384,307,77523,64138
El Paso,Texas,33.1,332797,348339,681136,47693,159709,3.03,TX,7359,12370,34473,542017,587683
Elgin,Illinois,35.7,54852,56224,111076,4024,30167,2.97,IL,789,7606,7528,48221,76126
Elizabeth,New Jersey,34.2,65896,63116,129012,1131,63413,3.18,NJ,797,3369,29822,86456,70873
Elk Grove,California,36.1,80057,86833,166890,7762,38693,3.34,CA,2020,59424,20185,28781,86909
Ellicott City,Maryland,42.4,34406,36526,70932,3856,17587,2.73,MD,396,22551,6089,1602,43537
Enterprise,Nevada,34.1,69146,66328,135474,7526,31173,2.89,NV,2777,35444,14637,25307,85505
Erie,Pennsylvania,35.3,48618,50852,99470,7093,6275,2.31,PA,913,3306,20564,7859,78636
Escondido,California,33.3,76551,74907,151458,8110,46298,3.27,CA,3151,14398,5631,73793,120781
Eugene,Oregon,33.4,79071,84377,163448,8896,14503,2.34,OR,5035,11073,5632,17356,146807
Evanston,Illinois,36.8,34146,41377,75523,2058,15003,2.29,IL,544,8800,11671,9075,54496
Evansville,Indiana,38,57198,60481,117679,9063,3169,2.25,IN,713,1376,17564,3263,100055
Everett,Washington,37,56212,51800,108012,7880,19499,2.36,WA,3645,9807,8304,15889,88395
Fairfield,California,34.7,55550,57422,112972,8607,24503,3.14,CA,1016,22428,18274,32976,64106
Fall River,Massachusetts,39.3,43314,45456,88770,4143,14775,2.21,MA,1481,1891,6389,9081,77242
Fargo,North Dakota,30.7,60560,58690,119250,6154,9428,2.18,ND,3102,4646,6477,3567,107349
Farmington Hills,Michigan,42.1,37527,43805,81332,3650,18033,2.41,MI,313,10759,13483,2052,57815
Fayetteville,Arkansas,27.1,41959,40873,82832,4744,6313,2.28,AR,2058,4707,6927,5535,68830
Fayetteville,North Carolina,30.7,101051,100914,201965,28089,12863,2.5,NC,6603,8949,90625,25080,102075
Federal Way,Washington,36.4,49151,46037,95188,7135,18565,2.68,WA,2396,16026,15495,14049,59035
Fishers,Indiana,34.5,42161,43910,86071,2469,6138,2.8,IN,"",7571,6873,3409,73361
Flagstaff,Arizona,23.9,33224,37093,70317,3667,4262,2.55,AZ,5117,2646,3144,13606,58696
Flint,Michigan,35.3,48984,49313,98297,3757,2138,2.38,MI,1508,657,55137,2525,44786
Florence-Graham,California,30.2,34186,32173,66359,416,28696,4.57,CA,"","",5060,60895,30591
Flower Mound,Texas,40.2,35200,35824,71024,4217,6860,3.01,TX,1095,6577,3559,6149,61433
Folsom,California,40.9,41051,35317,76368,4187,13234,2.62,CA,998,15569,3985,5822,57435
Fontana,California,29.5,100644,106828,207472,4076,61448,4.15,CA,2656,14281,16986,156134,85044
Fort Collins,Colorado,29.6,80893,80288,161181,8425,9704,2.45,CO,3271,7913,3176,15521,150568
Fort Lauderdale,Florida,42.8,93948,84639,178587,8897,47582,2.38,FL,1366,3791,62954,28148,109751
Fort Myers,Florida,37.3,36850,37165,74015,4312,15365,2.45,FL,"",3519,17298,17866,50169
Fort Smith,Arkansas,34.9,43346,44849,88195,3408,13177,2.44,AR,2993,6228,9851,17104,66004
Fort Wayne,Indiana,34.7,124815,133329,258144,13539,19146,2.45,IN,3577,13596,46319,21234,204114
Fort Worth,Texas,32.6,414126,422843,836969,39182,143404,2.88,TX,7504,42053,167449,296133,575180
Framingham,Massachusetts,40.3,35442,35768,71210,2625,19070,2.49,MA,849,5993,6944,13000,52205
Franklin,Tennessee,38.3,34991,37644,72635,3303,6876,2.73,TN,"",3911,7749,4916,61459
Frederick,Maryland,36.1,33146,36336,69482,3870,14211,2.48,MD,1333,5711,13372,13065,49181
Fremont,California,38.3,114383,117808,232191,4629,109427,3.12,CA,1606,141953,7762,29594,67294
Fresno,California,30,256130,263942,520072,18410,103453,3.12,CA,11380,75318,46072,256145,325651
Frisco,Texas,37.2,73989,80399,154388,6297,30913,3.05,TX,2947,30341,10821,17093,111477
Fullerton,California,34.5,69549,71300,140849,5394,43404,2.97,CA,1668,33937,5241,53459,92216
Gainesville,Florida,26,60803,69330,130133,4788,15272,2.33,FL,740,11963,32912,12208,87612
Gaithersburg,Maryland,35.7,32211,35234,67445,2126,28133,2.73,MD,672,13169,12482,18721,36639
Garden Grove,California,37.8,86779,88605,175384,4316,80677,3.66,CA,1713,71737,1840,66038,66782
Garland,Texas,34.5,116406,120430,236836,10407,62975,3.12,TX,3083,27217,40507,90989,154484
Gary,Indiana,38.1,35876,41478,77354,3952,1884,2.35,IN,551,537,61416,6266,13498
Gastonia,North Carolina,36.9,35527,39023,74550,3537,5715,2.67,NC,603,2788,22179,6653,46362
German,Maryland,34.9,41115,43007,84122,2443,27877,2.95,MD,1232,15921,22273,18202,43330
Gilbert,Arizona,33.2,116711,130812,247523,10817,24531,3.2,AZ,5965,19740,9076,39937,211322
Glen Burnie,Maryland,36.5,33398,36461,69859,5298,6971,2.58,MD,708,3194,17010,9137,49982
Glendale,Arizona,34.4,116795,123319,240114,13241,44133,2.89,AZ,4064,15245,16254,83711,202539
Glendale,California,42.1,98181,102844,201025,4448,111510,2.69,CA,474,42070,4619,30807,146718
