year,month,date,average,sd
1817,5,1817.371,21.2,14.2
1817,6,1817.455,40,19.9
1817,7,1817.538,50,22.3
1817,8,1817.623,45,21.1
1817,9,1817.707,36.7,19
1817,10,1817.79,25.6,15.7
1817,11,1817.874,28.9,16.7
1817,12,1817.958,28.4,16.6
1818,1,1818.042,34.9,18.5
1818,2,1818.123,22.4,14.6
1818,3,1818.204,25.4,15.6
1818,4,1818.288,34.5,18.4
1818,5,1818.371,53.1,23
1818,6,1818.455,36.4,18.9
1818,7,1818.538,28,16.5
1818,8,1818.623,31.5,17.5
1818,9,1818.707,26.1,15.9
1818,10,1818.79,31.6,17.6
1818,11,1818.874,10.9,9.9
1818,12,1818.958,25.8,15.8
1819,1,1819.042,32.8,17.9
1819,2,1819.123,20.7,14
1819,3,1819.204,3.7,5.3
1819,4,1819.288,20.2,13.8
1819,5,1819.371,19.6,13.6
1819,6,1819.455,35,18.5
1819,7,1819.538,31.4,17.5
1819,8,1819.623,26.1,15.9
1819,9,1819.707,14.9,11.7
1819,10,1819.79,27.5,16.3
1819,11,1819.874,25.1,15.5
1819,12,1819.958,30.6,17.3
1820,1,1820.042,19.2,13.5
1820,2,1820.124,26.6,16
1820,3,1820.206,4.5,6
1820,4,1820.29,19.4,13.5
1820,5,1820.373,29.3,16.9
1820,6,1820.456,10.8,9.8
1820,7,1820.54,20.6,14
1820,8,1820.624,25.9,15.8
1820,9,1820.708,5.2,6.5
1820,10,1820.791,8.9,8.8
1820,11,1820.874,7.9,8.3
1820,12,1820.958,9.1,9
1821,1,1821.042,21.5,14.3
1821,2,1821.123,4.2,5.8
1821,3,1821.204,5.7,6.9
1821,4,1821.288,9.2,9
1821,5,1821.371,1.7,3.3
1821,6,1821.455,1.8,3.4
1821,7,1821.538,2.5,4.2
1821,8,1821.623,4.8,6.2
1821,9,1821.707,4.4,5.9
1821,10,1821.79,18.8,13.3
1821,11,1821.874,4.4,5.9
1821,12,1821.958,0.2,0.5
1822,1,1822.042,0,1
1822,2,1822.123,0.9,2.1
1822,3,1822.204,16.1,12.2
1822,4,1822.288,13.5,11.1
1822,5,1822.371,1.5,3
1822,6,1822.455,5.6,6.8
1822,7,1822.538,7.9,8.3
1822,8,1822.623,2.1,3.8
1822,9,1822.707,0,1
1822,10,1822.79,0.4,1.1
1822,11,1822.874,0,1
1822,12,1822.958,0,1
1823,1,1823.042,0,1
1823,2,1823.123,0,1
1823,3,1823.204,0.6,1.6
1823,4,1823.288,0,1
1823,5,1823.371,0,1
1823,6,1823.455,0,1
1823,7,1823.538,0.5,1.3
1823,8,1823.623,0,1
1823,9,1823.707,0,1
1823,10,1823.79,0,1
1823,11,1823.874,0,1
1823,12,1823.958,20.4,13.9
1824,1,1824.042,21.7,14.4
1824,2,1824.124,10.8,9.8
1824,3,1824.206,0,1
1824,4,1824.29,19.4,13.5
1824,5,1824.373,2.8,4.5
1824,6,1824.456,0,1
1824,7,1824.54,0,1
1824,8,1824.624,1.4,2.9
1824,9,1824.708,20.5,13.9
1824,10,1824.791,25.2,15.6
1824,11,1824.874,0,1
1824,12,1824.958,0.8,2
1825,1,1825.042,5,6.4
1825,2,1825.123,15.5,12
1825,3,1825.204,22.4,14.6
1825,4,1825.288,3.8,5.4
1825,5,1825.371,15.5,12
1825,6,1825.455,15.4,12
1825,7,1825.538,30.9,17.3
1825,8,1825.623,25.7,15.7
1825,9,1825.707,15.7,12.1
1825,10,1825.79,15.6,12
1825,11,1825.874,11.7,10.3
1825,12,1825.958,22,14.5
1826,1,1826.042,17.7,12.9
1826,2,1826.123,18.2,13.1
1826,3,1826.204,36.7,19
1826,4,1826.288,24,15.2
1826,5,1826.371,32.4,17.8
1826,6,1826.455,37.1,19.1
1826,7,1826.538,52.5,22.9
1826,8,1826.623,39.6,19.8
1826,9,1826.707,18.9,13.3
1826,10,1826.79,50.6,22.5
1826,11,1826.874,39.5,19.7
1826,12,1826.958,68.1,26.2
1827,1,1827.042,34.6,18.4
1827,2,1827.123,47.4,21.7
1827,3,1827.204,57.8,24.1
1827,4,1827.288,46,21.4
1827,5,1827.371,56.3,23.8
1827,6,1827.455,56.7,23.8
1827,7,1827.538,42.3,20.5
1827,8,1827.623,53.7,23.2
1827,9,1827.707,49.6,22.2
1827,10,1827.79,56.1,23.7
1827,11,1827.874,48.2,21.9
1827,12,1827.958,46.1,21.4
1828,1,1828.042,52.8,23
1828,2,1828.124,64.4,25.5
1828,3,1828.206,65,25.6
1828,4,1828.29,61.1,24.8
1828,5,1828.373,89.1,30.1
1828,6,1828.456,98,31.7
1828,7,1828.54,54.2,23.3
1828,8,1828.624,76.4,27.8
1828,9,1828.708,50.4,22.4
1828,10,1828.791,54.7,23.4
1828,11,1828.874,57,23.9
1828,12,1828.958,46.9,21.6
1829,1,1829.042,43,20.6
1829,2,1829.123,49.4,22.2
1829,3,1829.204,72.3,27.1
1829,4,1829.288,95,31.2
1829,5,1829.371,67.4,26.1
1829,6,1829.455,73.9,27.4
1829,7,1829.538,90.8,30.4
1829,8,1829.623,77.6,28.1
1829,9,1829.707,52.8,23
1829,10,1829.79,57.2,24
1829,11,1829.874,67.6,26.1
1829,12,1829.958,56.5,23.8
1830,1,1830.042,52.2,22.8
1830,2,1830.123,72.1,27
1830,3,1830.204,84.6,29.4
1830,4,1830.288,106.3,33
1830,5,1830.371,66.3,25.9
1830,6,1830.455,65.1,25.6
1830,7,1830.538,43.9,20.9
1830,8,1830.623,50.7,22.5
1830,9,1830.707,62.1,25
1830,10,1830.79,84.4,29.3
1830,11,1830.874,81.2,28.7
1830,12,1830.958,82.1,28.9
1831,1,1831.042,47.5,21.7
1831,2,1831.123,50.1,22.4
1831,3,1831.204,93.4,30.9
1831,4,1831.288,54.5,23.4
1831,5,1831.371,38.1,19.4
1831,6,1831.455,33.4,18.1
1831,7,1831.538,45.2,21.2
1831,8,1831.623,55,23.5
1831,9,1831.707,37.9,19.3
1831,10,1831.79,46.3,21.5
1831,11,1831.874,43.5,20.8
1831,12,1831.958,28.9,16.7
1832,1,1832.042,30.9,17.3
1832,2,1832.124,55.6,23.6
1832,3,1832.206,55.1,23.5
1832,4,1832.29,26.9,16.1
1832,5,1832.373,41.3,20.2
1832,6,1832.456,26.7,16.1
1832,7,1832.54,14,11.3
1832,8,1832.624,8.9,8.8
1832,9,1832.708,8.2,8.4
1832,10,1832.791,21.1,14.2
1832,11,1832.874,14.3,11.5
1832,12,1832.958,27.5,16.3
1833,1,1833.042,11.3,10.1
1833,2,1833.123,14.9,11.7
1833,3,1833.204,11.8,10.3
1833,4,1833.288,2.8,4.5
1833,5,1833.371,12.9,10.9
1833,6,1833.455,1,2.3
1833,7,1833.538,7,7.7
1833,8,1833.623,5.7,6.9
1833,9,1833.707,11.6,10.2
1833,10,1833.79,7.5,8
1833,11,1833.874,5.9,7
1833,12,1833.958,9.9,9.4
1834,1,1834.042,4.9,6.3
1834,2,1834.123,18.1,13
1834,3,1834.204,3.9,5.5
1834,4,1834.288,1.4,2.9
1834,5,1834.371,8.8,8.8
1834,6,1834.455,7.8,8.2
1834,7,1834.538,8.7,8.7
1834,8,1834.623,4,5.6
1834,9,1834.707,11.5,10.2
1834,10,1834.79,24.8,15.4
1834,11,1834.874,30.5,17.2
1834,12,1834.958,34.5,18.4
1835,1,1835.042,7.5,8
1835,2,1835.123,24.5,15.3
1835,3,1835.204,19.7,13.6
1835,4,1835.288,61.5,24.9
1835,5,1835.371,43.6,20.8
1835,6,1835.455,33.2,18
1835,7,1835.538,59.8,24.5
1835,8,1835.623,59,24.3
1835,9,1835.707,100.8,32.1
1835,10,1835.79,95.2,31.2
1835,11,1835.874,100,32
1835,12,1835.958,77.5,28.1
1836,1,1836.042,88.6,30.1
1836,2,1836.124,107.6,33.2
1836,3,1836.206,98.2,31.7
1836,4,1836.29,142.9,38.4
1836,5,1836.373,111.4,33.8
1836,6,1836.456,124.7,35.9
1836,7,1836.54,116.7,34.6
1836,8,1836.624,107.8,33.3
1836,9,1836.708,95.1,31.2
1836,10,1836.791,137.4,37.7
1836,11,1836.874,120.9,35.3
1836,12,1836.958,206.2,46.4
1837,1,1837.042,188,44.2
1837,2,1837.123,175.6,42.7
1837,3,1837.204,134.6,37.3
1837,4,1837.288,138.2,37.8
1837,5,1837.371,111.7,33.9
1837,6,1837.455,158,40.5
1837,7,1837.538,162.8,41.1
1837,8,1837.623,134,37.2
1837,9,1837.707,96.3,31.4
1837,10,1837.79,123.7,35.7
1837,11,1837.874,107,33.1
1837,12,1837.958,129.8,36.6
1838,1,1838.042,144.9,38.7
1838,2,1838.123,84.8,29.4
1838,3,1838.204,140.8,38.2
1838,4,1838.288,126.6,36.1
1838,5,1838.371,137.6,37.7
1838,6,1838.455,94.5,31.1
1838,7,1838.538,108.2,33.3
1838,8,1838.623,78.8,28.3
1838,9,1838.707,73.6,27.3
1838,10,1838.79,90.8,30.4
1838,11,1838.874,77.4,28
1838,12,1838.958,79.8,28.5
1839,1,1839.042,105.6,32.9
1839,2,1839.123,102.5,32.4
1839,3,1839.204,77.7,28.1
1839,4,1839.288,61.8,24.9
1839,5,1839.371,53.8,23.2
1839,6,1839.455,54.6,23.4
1839,7,1839.538,84.8,29.4
1839,8,1839.623,131.2,36.8
1839,9,1839.707,132.7,37
1839,10,1839.79,90.9,30.5
1839,11,1839.874,68.8,26.4
1839,12,1839.958,63.7,25.3
1840,1,1840.042,81.2,28.7
1840,2,1840.124,87.7,29.9
1840,3,1840.206,67.8,26.2
1840,4,1840.29,65.9,25.8
1840,5,1840.373,69.2,26.5
1840,6,1840.456,48.5,22
1840,7,1840.54,60.7,24.7
1840,8,1840.624,57.8,24.1
1840,9,1840.708,74,27.4
1840,10,1840.791,55,23.5
1840,11,1840.874,54.3,23.3
1840,12,1840.958,53.7,23.2
1841,1,1841.042,24.1,15.2
1841,2,1841.123,29.9,17
1841,3,1841.204,29.7,17
1841,4,1841.288,40.2,19.9
1841,5,1841.371,67.5,26.1
1841,6,1841.455,55.7,23.6
1841,7,1841.538,30.8,17.3
1841,8,1841.623,39.3,19.7
1841,9,1841.707,36.5,18.9
1841,10,1841.79,28.5,16.6
1841,11,1841.874,19.8,13.7
1841,12,1841.958,38.8,19.6
1842,1,1842.042,20.4,13.9
1842,2,1842.123,22.1,14.5
1842,3,1842.204,21.7,14.4
1842,4,1842.288,26.9,16.1
1842,5,1842.371,24.9,15.5
1842,6,1842.455,20.5,13.9
1842,7,1842.538,12.6,10.7
1842,8,1842.623,26.6,16
1842,9,1842.707,18.4,13.2
1842,10,1842.79,38.1,19.4
1842,11,1842.874,40.5,20
1842,12,1842.958,17.6,12.8
1843,1,1843.042,13.3,11
1843,2,1843.123,3.5,5.2
1843,3,1843.204,8.3,8.5
1843,4,1843.288,9.5,9.2
1843,5,1843.371,21.1,14.2
1843,6,1843.455,10.5,9.7
1843,7,1843.538,9.5,9.2
1843,8,1843.623,11.8,10.3
1843,9,1843.707,4.2,5.8
1843,10,1843.79,5.3,6.6
1843,11,1843.874,19.1,13.4
1843,12,1843.958,12.7,10.8
1844,1,1844.042,9.4,9.1
1844,2,1844.124,14.7,11.7
1844,3,1844.206,13.6,11.2
1844,4,1844.29,20.8,14.1
1844,5,1844.373,11.6,10.2
1844,6,1844.456,3.7,5.3
1844,7,1844.54,21.2,14.2
1844,8,1844.624,23.9,15.1
1844,9,1844.708,7,7.7
1844,10,1844.791,21.5,14.3
1844,11,1844.874,10.7,9.8
1844,12,1844.958,21.6,14.3
1845,1,1845.042,25.7,15.7
1845,2,1845.123,43.6,20.8
1845,3,1845.204,43.3,20.7
1845,4,1845.288,57,23.9
1845,5,1845.371,47.8,21.8
1845,6,1845.455,31.1,17.4
1845,7,1845.538,30.6,17.3
1845,8,1845.623,32.3,17.8
1845,9,1845.707,29.6,17
1845,10,1845.79,40.7,20.1
1845,11,1845.874,39.4,19.7
1845,12,1845.958,59.7,24.5
1846,1,1846.042,38.7,19.5
1846,2,1846.123,51,22.6
1846,3,1846.204,63.9,25.4
1846,4,1846.288,69.3,26.5
1846,5,1846.371,59.9,24.5
1846,6,1846.455,65.1,25.6
1846,7,1846.538,46.5,21.5
1846,8,1846.623,54.8,23.4
1846,9,1846.707,107.1,33.2
1846,10,1846.79,55.9,23.7
1846,11,1846.874,60.4,24.6
1846,12,1846.958,65.5,25.7
1847,1,1847.042,62.6,25.1
1847,2,1847.123,44.9,21.1
1847,3,1847.204,85.7,29.5
1847,4,1847.288,44.7,21.1
1847,5,1847.371,75.4,27.7
1847,6,1847.455,85.3,29.5
1847,7,1847.538,52.2,22.8
1847,8,1847.623,140.6,38.1
1847,9,1847.707,160.9,40.9
1847,10,1847.79,180.4,43.3
1847,11,1847.874,138.9,37.9
1847,12,1847.958,109.6,33.5
1848,1,1848.042,159.1,40.6
1848,2,1848.124,111.8,33.9
1848,3,1848.206,108.6,33.4
1848,4,1848.29,107.1,33.2
1848,5,1848.373,102.2,32.4
1848,6,1848.456,129,36.5
1848,7,1848.54,139.2,37.9
1848,8,1848.624,132.6,37
1848,9,1848.708,100.3,32
1848,10,1848.791,132.4,37
1848,11,1848.874,114.6,34.3
1848,12,1848.958,159.5,40.7
1849,1,1849.042,157,24.6
1849,2,1849.123,131.8,39.3
1849,3,1849.204,96.2,29.4
1849,4,1849.288,102.5,43.8
1849,5,1849.371,80.6,29
1849,6,1849.455,81.1,34.3
1849,7,1849.538,78,24.6
1849,8,1849.623,67.7,18.8
1849,9,1849.707,93.7,22.5
1849,10,1849.79,71.5,30.2
1849,11,1849.874,99,43.5
1849,12,1849.958,97,30.1
1850,1,1850.042,78,30.6
1850,2,1850.123,89.4,26
1850,3,1850.204,82.6,23.9
1850,4,1850.288,44.1,25.7
1850,5,1850.371,61.6,21.6
1850,6,1850.455,70,31.9
1850,7,1850.538,39.1,37.1
1850,8,1850.623,61.6,14.9
1850,9,1850.707,86.2,18.5
1850,10,1850.79,71,21.8
1850,11,1850.874,54.8,28.7
1850,12,1850.958,61,20
1851,1,1851.042,75.5,43.8
1851,2,1851.123,105.4,22.2
1851,3,1851.204,64.6,11.5
1851,4,1851.288,56.5,20.6
1851,5,1851.371,62.6,24.6
1851,6,1851.455,63.2,23.2
1851,7,1851.538,36.1,20
1851,8,1851.623,57.4,16.2
1851,9,1851.707,67.9,21.6
1851,10,1851.79,62.5,28.5
1851,11,1851.874,51,18.4
1851,12,1851.958,71.4,24.8
1852,1,1852.042,68.4,23.2
1852,2,1852.124,66.4,37
1852,3,1852.206,61.2,20.2
1852,4,1852.29,65.4,28
1852,5,1852.373,54.9,19.2
1852,6,1852.456,46.9,21
1852,7,1852.54,42.1,16.8
1852,8,1852.624,39.7,13.7
1852,9,1852.708,37.5,16.6
1852,10,1852.791,67.3,32.1
1852,11,1852.874,54.3,29.7
1852,12,1852.958,45.4,24.4
1853,1,1853.042,41.1,23
1853,2,1853.123,42.9,16.3
1853,3,1853.204,37.7,24
1853,4,1853.288,47.6,19.5
1853,5,1853.371,34.7,13.1
1853,6,1853.455,40,24.4
1853,7,1853.538,45.9,19.2
1853,8,1853.623,50.5,16.4
1853,9,1853.707,33.5,14.7
1853,10,1853.79,42.4,11.2
1853,11,1853.874,28.8,6.2
1853,12,1853.958,23.4,10.6
1854,1,1854.042,15.4,9.3
1854,2,1854.123,20,14.6
1854,3,1854.204,20.7,15.4
1854,4,1854.288,26.5,18.7
1854,5,1854.371,24,18.9
1854,6,1854.455,21.1,9.7
1854,7,1854.538,18.7,12.1
1854,8,1854.623,15.8,8.5
1854,9,1854.707,22.4,17.1
1854,10,1854.79,12.6,17.1
1854,11,1854.874,28.2,15.4
1854,12,1854.958,21.6,12.7
1855,1,1855.042,12.3,15.1
1855,2,1855.123,11.4,9.7
1855,3,1855.204,17.4,11.8
1855,4,1855.288,4.4,7.1
1855,5,1855.371,9.1,14.5
1855,6,1855.455,5.3,8.4
1855,7,1855.538,0.4,2
1855,8,1855.623,3.1,6.7
1855,9,1855.707,0,1
1855,10,1855.79,9.6,7.1
1855,11,1855.874,4.2,6.7
1855,12,1855.958,3.1,7.6
1856,1,1856.042,0.5,2.9
1856,2,1856.124,4.9,7
1856,3,1856.206,0.4,2.2
1856,4,1856.29,6.5,8.1
1856,5,1856.373,0,1
1856,6,1856.456,5.2,9.3
1856,7,1856.54,4.6,6.4
1856,8,1856.624,5.9,7.4
1856,9,1856.708,4.4,7.1
1856,10,1856.791,4.5,7.6
1856,11,1856.874,7.7,8.5
1856,12,1856.958,7.2,8.9
1857,1,1857.042,13.7,8.1
1857,2,1857.123,7.4,8.2
1857,3,1857.204,5.2,6.3
1857,4,1857.288,11.1,10.9
1857,5,1857.371,28.5,16.7
1857,6,1857.455,16,11.2
1857,7,1857.538,22.2,13.2
1857,8,1857.623,16.9,12.9
1857,9,1857.707,42.4,14.1
1857,10,1857.79,40.6,18.2
1857,11,1857.874,31.4,17.7
1857,12,1857.958,37.2,20.1
1858,1,1858.042,39,22.8
1858,2,1858.123,34.9,16.1
1858,3,1858.204,57.5,30.3
1858,4,1858.288,38.3,17.1
1858,5,1858.371,41.4,21.7
1858,6,1858.455,44.5,21.1
1858,7,1858.538,56.7,21.6
1858,8,1858.623,55.3,25.3
1858,9,1858.707,80.1,24.2
1858,10,1858.79,91.2,19.8
1858,11,1858.874,51.9,21.2
1858,12,1858.958,66.9,24.8
1859,1,1859.042,83.7,17.4
1859,2,1859.123,87.6,30.8
1859,3,1859.204,90.3,24.3
1859,4,1859.288,85.7,24.5
1859,5,1859.371,91,31.7
1859,6,1859.455,87.1,25.3
1859,7,1859.538,95.2,35.5
1859,8,1859.623,106.8,28.6
1859,9,1859.707,105.8,24.9
1859,10,1859.79,114.6,19.8
1859,11,1859.874,97.2,24.8
1859,12,1859.958,81,21.7
1860,1,1860.042,82.4,22.7
1860,2,1860.124,88.3,34.2
1860,3,1860.206,98.9,24.5
1860,4,1860.29,71.4,19.4
1860,5,1860.373,107.1,26.5
1860,6,1860.456,108.6,52.1
1860,7,1860.54,116.7,43.6
1860,8,1860.624,100.3,25
1860,9,1860.708,92.2,21.6
1860,10,1860.791,90.1,21.9
1860,11,1860.874,97.9,23.7
1860,12,1860.958,95.6,38.2
1861,1,1861.042,62.3,18.5
1861,2,1861.123,77.7,35.1
1861,3,1861.204,101,32.9
1861,4,1861.288,98.5,50.7
1861,5,1861.371,56.8,34.3
1861,6,1861.455,88.1,38.4
1861,7,1861.538,78,17.7
1861,8,1861.623,82.5,31.8
1861,9,1861.707,79.9,25.6
1861,10,1861.79,67.2,32.6
1861,11,1861.874,53.7,20.7
1861,12,1861.958,80.5,26.4
1862,1,1862.042,63.1,16.7
1862,2,1862.123,64.5,20.1
1862,3,1862.204,43.6,25.4
1862,4,1862.288,53.7,17.9
1862,5,1862.371,64.4,14.3
1862,6,1862.455,84,18.2
1862,7,1862.538,73.4,20.5
1862,8,1862.623,62.5,25.4
1862,9,1862.707,66.6,29.1
1862,10,1862.79,41.9,19.5
1862,11,1862.874,50.6,20.4
1862,12,1862.958,40.9,23.9
1863,1,1863.042,48.3,20.7
1863,2,1863.123,56.7,20.6
1863,3,1863.204,66.4,18
1863,4,1863.288,40.6,20.2
1863,5,1863.371,53.8,14.1
1863,6,1863.455,40.8,24
1863,7,1863.538,32.7,17.9
1863,8,1863.623,48.1,22.1
1863,9,1863.707,22,12.2
1863,10,1863.79,39.9,15
1863,11,1863.874,37.7,21.2
1863,12,1863.958,41.2,21.2
1864,1,1864.042,57.7,30.1
1864,2,1864.124,47.1,17.5
1864,3,1864.206,66.3,16.4
1864,4,1864.29,35.8,16.3
1864,5,1864.373,40.6,14.7
1864,6,1864.456,57.8,38.6
1864,7,1864.54,54.7,25
1864,8,1864.624,54.8,41.5
1864,9,1864.708,28.5,11
1864,10,1864.791,33.9,16.8
1864,11,1864.874,57.6,18.7
1864,12,1864.958,28.6,21.7
1865,1,1865.042,48.7,27.9
1865,2,1865.123,39.3,23.3
1865,3,1865.204,39.5,21.1
1865,4,1865.288,29.4,19.2
1865,5,1865.371,34.5,18.3
1865,6,1865.455,33.6,18.8
1865,7,1865.538,26.8,15.6
1865,8,1865.623,37.8,19.2
1865,9,1865.707,21.6,14.6
1865,10,1865.79,17.1,15.8
1865,11,1865.874,24.6,15.1
1865,12,1865.958,12.8,13.7
1866,1,1866.042,31.6,11.3
1866,2,1866.123,38.4,26.4
1866,3,1866.204,24.5,12.6
1866,4,1866.288,17.6,8.7
1866,5,1866.371,12.9,8.3
1866,6,1866.455,16.5,8.7
1866,7,1866.538,9.3,7.9
1866,8,1866.623,12.7,7.7
1866,9,1866.707,7.3,7.9
1866,10,1866.79,14.1,9.6
1866,11,1866.874,9,10.8
1866,12,1866.958,1.5,4
1867,1,1867.042,0,1
1867,2,1867.123,0.7,2.6
1867,3,1867.204,9.2,8.1
1867,4,1867.288,5.1,7.9
1867,5,1867.371,2.9,5.6
1867,6,1867.455,1.5,3.9
1867,7,1867.538,5,6.2
1867,8,1867.623,4.8,6.9
1867,9,1867.707,9.8,11.8
1867,10,1867.79,13.5,15
1867,11,1867.874,9.6,8.1
1867,12,1867.958,25.2,22.7
1868,1,1868.042,15.5,16.8
1868,2,1868.124,15.7,10.8
1868,3,1868.206,26.5,13.9
1868,4,1868.29,36.6,15.1
1868,5,1868.373,26.7,14.7
1868,6,1868.456,31.1,18
1868,7,1868.54,29,24
1868,8,1868.624,34.4,15.9
1868,9,1868.708,47.2,18.5
1868,10,1868.791,61.6,33.3
1868,11,1868.874,59.1,23.7
1868,12,1868.958,67.6,32.1
1869,1,1869.042,60.9,27.8
1869,2,1869.123,59.9,28.2
1869,3,1869.204,52.7,26.4
1869,4,1869.288,41,27.2
1869,5,1869.371,103.9,44.6
1869,6,1869.455,108.4,35.4
1869,7,1869.538,59.2,32
1869,8,1869.623,79.6,41
1869,9,1869.707,80.6,33.7
1869,10,1869.79,59.3,25
1869,11,1869.874,78.1,23.8
1869,12,1869.958,104.4,33.4
1870,1,1870.042,77.3,14.5
1870,2,1870.123,114.9,40.7
1870,3,1870.204,157.5,25.9
1870,4,1870.288,160,48
1870,5,1870.371,176,37.3
1870,6,1870.455,135.6,44.5
1870,7,1870.538,132.4,32.3
1870,8,1870.623,153.8,78.9
1870,9,1870.707,136,63.7
1870,10,1870.79,146.4,30.2
1870,11,1870.874,147.5,54.6
1870,12,1870.958,130,59.3
1871,1,1871.042,88.3,18.4
1871,2,1871.123,125.3,37.7
1871,3,1871.204,143.2,30.5
1871,4,1871.288,162.4,29
1871,5,1871.371,145.5,21.9
1871,6,1871.455,91.7,31.6
1871,7,1871.538,103,31.4
1871,8,1871.623,110.1,37
1871,9,1871.707,80.3,31.2
1871,10,1871.79,89,28.7
1871,11,1871.874,105.4,29.5
1871,12,1871.958,90.4,30.6
1872,1,1872.042,79.5,20.6
1872,2,1872.124,120.1,36.1
1872,3,1872.206,88.4,43.4
1872,4,1872.29,102.1,20.7
1872,5,1872.373,107.6,36.4
1872,6,1872.456,109.9,28.7
1872,7,1872.54,105.5,34.2
1872,8,1872.624,92.9,35.7
1872,9,1872.708,114.6,27.8
1872,10,1872.791,102.6,29
1872,11,1872.874,112,30.6
1872,12,1872.958,83.9,29.8
1873,1,1873.042,86.7,29.6
1873,2,1873.123,107,26.8
1873,3,1873.204,98.3,37
1873,4,1873.288,76.2,21
1873,5,1873.371,47.9,32.1
1873,6,1873.455,44.8,31.6
1873,7,1873.538,66.9,35.5
1873,8,1873.623,68.2,28.3
1873,9,1873.707,47.1,16
1873,10,1873.79,47.1,23.1
1873,11,1873.874,55.4,33.8
1873,12,1873.958,49.2,21.3
1874,1,1874.042,60.8,21.3
1874,2,1874.123,64.2,26.5
1874,3,1874.204,46.4,17.9
1874,4,1874.288,32,20.6
1874,5,1874.371,44.6,20.7
1874,6,1874.455,38.2,19.5
1874,7,1874.538,67.8,25.2
1874,8,1874.623,61.3,20.5
1874,9,1874.707,28,16
1874,10,1874.79,34.3,20.6
1874,11,1874.874,28.9,11.8
1874,12,1874.958,29.3,19.1
1875,1,1875.042,14.6,14.8
1875,2,1875.123,21.5,17.3
1875,3,1875.204,33.8,10.4
1875,4,1875.288,29.1,14
1875,5,1875.371,11.5,13.9
1875,6,1875.455,23.9,12.2
1875,7,1875.538,12.5,10.1
1875,8,1875.623,14.6,15.6
1875,9,1875.707,2.4,6.2
1875,10,1875.79,12.7,10.8
1875,11,1875.874,17.7,26.2
1875,12,1875.958,9.9,12.6
1876,1,1876.042,14.3,19.6
1876,2,1876.124,15,15.1
1876,3,1876.206,30.6,27
1876,4,1876.29,2.3,6.1
1876,5,1876.373,5.1,7.5
1876,6,1876.456,1.6,4.5
1876,7,1876.54,15.2,14.2
1876,8,1876.624,8.8,10.9
1876,9,1876.708,9.9,9.9
1876,10,1876.791,14.3,8.5
1876,11,1876.874,9.9,11.5
1876,12,1876.958,8.2,11.3
1877,1,1877.042,24.4,18.9
1877,2,1877.123,8.7,6.7
1877,3,1877.204,11.9,13.5
1877,4,1877.288,15.8,14.3
1877,5,1877.371,21.6,9.4
1877,6,1877.455,14.2,8.2
1877,7,1877.538,6,8
1877,8,1877.623,6.3,7.7
1877,9,1877.707,16.9,9.9
1877,10,1877.79,6.7,14.1
1877,11,1877.874,14.2,13.3
1877,12,1877.958,2.2,4.4
1878,1,1878.042,3.3,6.1
1878,2,1878.123,6.6,12.6
1878,3,1878.204,7.8,9.5
1878,4,1878.288,0.1,0.5
1878,5,1878.371,5.9,11.7
1878,6,1878.455,6.4,10.4
1878,7,1878.538,0.1,0.7
1878,8,1878.623,0,1
1878,9,1878.707,5.3,6.8
1878,10,1878.79,1.1,3.6
1878,11,1878.874,4.1,5.9
1878,12,1878.958,0.5,2.9
1879,1,1879.042,1,2.8
1879,2,1879.123,0.6,2.1
1879,3,1879.204,0,1
1879,4,1879.288,6.2,8.2
1879,5,1879.371,2.4,4.9
1879,6,1879.455,4.8,8.5
1879,7,1879.538,7.5,9
1879,8,1879.623,10.7,12.4
1879,9,1879.707,6.1,6.1
1879,10,1879.79,12.3,12.1
1879,11,1879.874,13.1,12.5
1879,12,1879.958,7.3,7.3
1880,1,1880.042,24,17.4
1880,2,1880.124,27.2,21.4
1880,3,1880.206,19.3,12.1
1880,4,1880.29,19.5,10.8
1880,5,1880.373,23.5,15.2
1880,6,1880.456,34.1,16.2
1880,7,1880.54,21.9,14.4
1880,8,1880.624,48.1,26.8
1880,9,1880.708,66,25.6
1880,10,1880.791,43,15.3
1880,11,1880.874,30.7,18.4
1880,12,1880.958,29.6,13
1881,1,1881.042,36.4,19.5
1881,2,1881.123,53.2,14.3
1881,3,1881.204,51.5,41.6
1881,4,1881.288,51.6,19.7
1881,5,1881.371,43.5,18.6
1881,6,1881.455,60.5,19.2
1881,7,1881.538,76.9,24.1
1881,8,1881.623,58.4,42.5
1881,9,1881.707,53.2,19.5
1881,10,1881.79,64.4,20
1881,11,1881.874,54.8,29.5
1881,12,1881.958,47.3,23.5
1882,1,1882.042,45,12.5
1882,2,1882.123,69.5,23.4
1882,3,1882.204,66.8,21.6
1882,4,1882.288,95.8,39
1882,5,1882.371,64.1,40.4
1882,6,1882.455,45.2,19.9
1882,7,1882.538,45.4,22.8
1882,8,1882.623,40.4,17.9
1882,9,1882.707,57.7,21.6
1882,10,1882.79,59.2,27.8
1882,11,1882.874,84.4,23.4
1882,12,1882.958,41.8,21.1
1883,1,1883.042,60.6,22.1
1883,2,1883.123,46.9,23.6
1883,3,1883.204,42.8,22.8
1883,4,1883.288,82.1,20.2
1883,5,1883.371,31.5,19.1
1883,6,1883.455,76.3,25.6
1883,7,1883.538,80.6,38.8
1883,8,1883.623,46,21.1
1883,9,1883.707,52.6,30.8
1883,10,1883.79,83.8,40.9
