INCITScode,state,county_or_unit,population
19057,Iowa,Des Moines County,40480
19059,Iowa,Dickinson County,16955
19061,Iowa,Dubuque County,95697
19063,Iowa,Emmet County,9996
19065,Iowa,Fayette County,20502
19067,Iowa,Floyd County,16092
19069,Iowa,Franklin County,10548
19071,Iowa,Fremont County,7080
19073,Iowa,Greene County,9139
19075,Iowa,Grundy County,12314
19077,Iowa,Guthrie County,10687
19079,Iowa,Hamilton County,15312
19081,Iowa,Hancock County,11094
19083,Iowa,Hardin County,17441
19085,Iowa,Harrison County,14431
19087,Iowa,Henry County,20222
19089,Iowa,Howard County,9526
19091,Iowa,Humboldt County,9688
19093,Iowa,Ida County,7141
19095,Iowa,Iowa County,16330
19097,Iowa,Jackson County,19587
19099,Iowa,Jasper County,36641
19101,Iowa,Jefferson County,16810
19103,Iowa,Johnson County,139155
19105,Iowa,Jones County,20611
19107,Iowa,Keokuk County,10329
19109,Iowa,Kossuth County,15321
19111,Iowa,Lee County,35682
19113,Iowa,Linn County,216111
19115,Iowa,Louisa County,11282
19117,Iowa,Lucas County,8746
19119,Iowa,Lyon County,11712
19121,Iowa,Madison County,15448
19123,Iowa,Mahaska County,22417
19125,Iowa,Marion County,33252
19127,Iowa,Marshall County,40994
19129,Iowa,Mills County,14896
19131,Iowa,Mitchell County,10709
19133,Iowa,Monona County,9121
19135,Iowa,Monroe County,8012
19137,Iowa,Montgomery County,10424
19139,Iowa,Muscatine County,42836
19141,Iowa,O'Brien County,14044
19143,Iowa,Osceola County,6211
19145,Iowa,Page County,15713
19147,Iowa,Palo Alto County,9185
19149,Iowa,Plymouth County,24957
19151,Iowa,Pocahontas County,7154
19153,Iowa,Polk County,451677
19155,Iowa,Pottawattamie County,92728
19157,Iowa,Poweshiek County,18601
19159,Iowa,Ringgold County,5072
19161,Iowa,Sac County,10071
19163,Iowa,Scott County,170385
19165,Iowa,Shelby County,11961
19167,Iowa,Sioux County,34547
19169,Iowa,Story County,92406
19171,Iowa,Tama County,17576
19173,Iowa,Taylor County,6161
19175,Iowa,Union County,12583
19177,Iowa,Van Buren County,7436
19179,Iowa,Wapello County,35391
19181,Iowa,Warren County,47336
19183,Iowa,Washington County,22015
19185,Iowa,Wayne County,6402
19187,Iowa,Webster County,37044
19189,Iowa,Winnebago County,10554
19191,Iowa,Winneshiek County,20994
19193,Iowa,Woodbury County,102130
19195,Iowa,Worth County,7541
19197,Iowa,Wright County,12972
20001,Kansas,Allen County,13124
20003,Kansas,Anderson County,7897
20005,Kansas,Atchison County,16749
20007,Kansas,Barber County,4947
20009,Kansas,Barton County,27509
20011,Kansas,Bourbon County,14852
20013,Kansas,Brown County,9997
20015,Kansas,Butler County,65803
20017,Kansas,Chase County,2700
20019,Kansas,Chautauqua County,3552
20021,Kansas,Cherokee County,20978
20023,Kansas,Cheyenne County,2694
20025,Kansas,Clark County,2193
20027,Kansas,Clay County,8406
20029,Kansas,Cloud County,9292
20031,Kansas,Coffey County,8412
20033,Kansas,Comanche County,1955
20035,Kansas,Cowley County,36204
20037,Kansas,Crawford County,39278
20039,Kansas,Decatur County,2930
20041,Kansas,Dickinson County,19609
20043,Kansas,Doniphan County,7851
20045,Kansas,Douglas County,114322
20047,Kansas,Edwards County,2945
20049,Kansas,Elk County,2655
20051,Kansas,Ellis County,29061
20053,Kansas,Ellsworth County,6398
20055,Kansas,Finney County,37098
20057,Kansas,Ford County,34819
20059,Kansas,Franklin County,25740
20061,Kansas,Geary County,37384
20063,Kansas,Gove County,2769
20065,Kansas,Graham County,2593
20067,Kansas,Grant County,7950
20069,Kansas,Gray County,6009
20071,Kansas,Greeley County,1290
20073,Kansas,Greenwood County,6424
20075,Kansas,Hamilton County,2609
20077,Kansas,Harper County,5860
20079,Kansas,Harvey County,34741
20081,Kansas,Haskell County,4141
20083,Kansas,Hodgeman County,1950
20085,Kansas,Jackson County,13366
20087,Kansas,Jefferson County,18813
20089,Kansas,Jewell County,3046
20091,Kansas,Johnson County,566933
20093,Kansas,Kearny County,3923
20095,Kansas,Kingman County,7844
20097,Kansas,Kiowa County,2523
20099,Kansas,Labette County,20916
20101,Kansas,Lane County,1720
20103,Kansas,Leavenworth County,78185
20105,Kansas,Lincoln County,3147
20107,Kansas,Linn County,9516
20109,Kansas,Logan County,2798
20111,Kansas,Lyon County,33510
20113,Kansas,McPherson County,29569
20115,Kansas,Marion County,12219
20117,Kansas,Marshall County,10002
20119,Kansas,Meade County,4343
20121,Kansas,Miami County,32835
20123,Kansas,Mitchell County,6378
20125,Kansas,Montgomery County,34292
20127,Kansas,Morris County,5741
20129,Kansas,Morton County,3143
20131,Kansas,Nemaha County,10161
20133,Kansas,Neosho County,16430
20135,Kansas,Ness County,3073
20137,Kansas,Norton County,5622
20139,Kansas,Osage County,16142
20141,Kansas,Osborne County,3818
20143,Kansas,Ottawa County,6042
20145,Kansas,Pawnee County,6971
20147,Kansas,Phillips County,5540
20149,Kansas,Pottawatomie County,22691
20151,Kansas,Pratt County,9878
20153,Kansas,Rawlins County,2589
20155,Kansas,Reno County,64190
20157,Kansas,Republic County,4820
20159,Kansas,Rice County,10011
20161,Kansas,Riley County,75394
20163,Kansas,Rooks County,5190
20165,Kansas,Rush County,3186
20167,Kansas,Russell County,6933
20169,Kansas,Saline County,55740
20171,Kansas,Scott County,5035
20173,Kansas,Sedgwick County,505415
20175,Kansas,Seward County,23390
20177,Kansas,Shawnee County,178831
20179,Kansas,Sheridan County,2553
20181,Kansas,Sherman County,6115
20183,Kansas,Smith County,3706
20185,Kansas,Stafford County,4359
20187,Kansas,Stanton County,2194
20189,Kansas,Stevens County,5816
20191,Kansas,Sumner County,23591
20193,Kansas,Thomas County,7948
20195,Kansas,Trego County,2980
20197,Kansas,Wabaunsee County,7051
20199,Kansas,Wallace County,1569
20201,Kansas,Washington County,5629
20203,Kansas,Wichita County,2192
20205,Kansas,Wilson County,9105
20207,Kansas,Woodson County,3221
20209,Kansas,Wyandotte County,160384
21001,Kentucky,Adair County,18732
21003,Kentucky,Allen County,20311
21005,Kentucky,Anderson County,21811
21007,Kentucky,Ballard County,8332
21009,Kentucky,Barren County,43027
21011,Kentucky,Bath County,11961
21013,Kentucky,Bell County,27885
21015,Kentucky,Boone County,124442
21017,Kentucky,Bourbon County,19998
21019,Kentucky,Boyd County,48886
21021,Kentucky,Boyle County,29013
21023,Kentucky,Bracken County,8416
21025,Kentucky,Breathitt County,13545
21027,Kentucky,Breckinridge County,20040
21029,Kentucky,Bullitt County,76854
21031,Kentucky,Butler County,12793
21033,Kentucky,Caldwell County,12823
21035,Kentucky,Calloway County,37657
21037,Kentucky,Campbell County,90988
21039,Kentucky,Carlisle County,5001
21041,Kentucky,Carroll County,10953
21043,Kentucky,Carter County,27202
21045,Kentucky,Casey County,16067
21047,Kentucky,Christian County,74167
21049,Kentucky,Clark County,35614
21051,Kentucky,Clay County,21364
21053,Kentucky,Clinton County,10146
21055,Kentucky,Crittenden County,9255
21057,Kentucky,Cumberland County,6789
21059,Kentucky,Daviess County,98218
21061,Kentucky,Edmonson County,12062
21063,Kentucky,Elliott County,7637
21065,Kentucky,Estill County,14488
21067,Kentucky,Fayette County,308428
21069,Kentucky,Fleming County,14508
21071,Kentucky,Floyd County,38728
21073,Kentucky,Franklin County,49648
21075,Kentucky,Fulton County,6385
21077,Kentucky,Gallatin County,8474
21079,Kentucky,Garrard County,16915
21081,Kentucky,Grant County,24753
21083,Kentucky,Graves County,37451
21085,Kentucky,Grayson County,25997
21087,Kentucky,Green County,11180
21089,Kentucky,Greenup County,36519
21091,Kentucky,Hancock County,8687
21093,Kentucky,Hardin County,108191
21095,Kentucky,Harlan County,28499
21097,Kentucky,Harrison County,18518
21099,Kentucky,Hart County,18573
21101,Kentucky,Henderson County,46347
21103,Kentucky,Henry County,15445
21105,Kentucky,Hickman County,4745
21107,Kentucky,Hopkins County,46634
21109,Kentucky,Jackson County,13427
21111,Kentucky,Jefferson County,756832
21113,Kentucky,Jessamine County,50173
21115,Kentucky,Johnson County,23449
21117,Kentucky,Kenton County,163145
21119,Kentucky,Knott County,15976
21121,Kentucky,Knox County,31790
21123,Kentucky,LaRue County,14064
21125,Kentucky,Laurel County,59563
21127,Kentucky,Lawrence County,15856
21129,Kentucky,Lee County,7260
21131,Kentucky,Leslie County,11019
21133,Kentucky,Letcher County,23619
21135,Kentucky,Lewis County,13806
21137,Kentucky,Lincoln County,24370
21139,Kentucky,Livingston County,9359
21141,Kentucky,Logan County,26876
21143,Kentucky,Lyon County,8451
21145,Kentucky,McCracken County,65373
21147,Kentucky,McCreary County,17989
21149,Kentucky,McLean County,9496
21151,Kentucky,Madison County,85590
21153,Kentucky,Magoffin County,12950
21155,Kentucky,Marion County,20045
21157,Kentucky,Marshall County,31107
21159,Kentucky,Martin County,12647
21161,Kentucky,Mason County,17278
21163,Kentucky,Meade County,29210
21165,Kentucky,Menifee County,6288
21167,Kentucky,Mercer County,21349
21169,Kentucky,Metcalfe County,9983
21171,Kentucky,Monroe County,10681
21173,Kentucky,Montgomery County,27251
21175,Kentucky,Morgan County,13380
21177,Kentucky,Muhlenberg County,31179
21179,Kentucky,Nelson County,44540
21181,Kentucky,Nicholas County,7039
21183,Kentucky,Ohio County,23988
21185,Kentucky,Oldham County,62364
21187,Kentucky,Owen County,10662
21189,Kentucky,Owsley County,4654
21191,Kentucky,Pendleton County,14570
21193,Kentucky,Perry County,28010
21195,Kentucky,Pike County,63380
21197,Kentucky,Powell County,12494
21199,Kentucky,Pulaski County,63907
21201,Kentucky,Robertson County,2235
21203,Kentucky,Rockcastle County,16693
21205,Kentucky,Rowan County,23527
21207,Kentucky,Russell County,17752
21209,Kentucky,Scott County,49947
21211,Kentucky,Shelby County,44216
21213,Kentucky,Simpson County,17793
21215,Kentucky,Spencer County,17637
21217,Kentucky,Taylor County,24649
21219,Kentucky,Todd County,12503
21221,Kentucky,Trigg County,14293
21223,Kentucky,Trimble County,8816
21225,Kentucky,Union County,15029
21227,Kentucky,Warren County,118370
21229,Kentucky,Washington County,11875
21231,Kentucky,Wayne County,20678
21233,Kentucky,Webster County,13452
21235,Kentucky,Whitley County,35766
21237,Kentucky,Wolfe County,7248
21239,Kentucky,Woodford County,25275
22001,Louisiana,Acadia Parish,62204
22003,Louisiana,Allen Parish,25537
22005,Louisiana,Ascension Parish,114393
22007,Louisiana,Assumption Parish,23187
22009,Louisiana,Avoyelles Parish,41299
22011,Louisiana,Beauregard Parish,36167
22013,Louisiana,Bienville Parish,13981
22015,Louisiana,Bossier Parish,123823
22017,Louisiana,Caddo Parish,254887
22019,Louisiana,Calcasieu Parish,195296
22021,Louisiana,Caldwell Parish,9989
22023,Louisiana,Cameron Parish,6744
22025,Louisiana,Catahoula Parish,10238
22027,Louisiana,Claiborne Parish,16650
22029,Louisiana,Concordia Parish,20442
22031,Louisiana,De Soto Parish,27083
22033,Louisiana,East Baton Rouge Parish,445227
22035,Louisiana,East Carroll Parish,7529
22037,Louisiana,East Feliciana Parish,19728
22039,Louisiana,Evangeline Parish,33578
22041,Louisiana,Franklin Parish,20571
22043,Louisiana,Grant Parish,22030
22045,Louisiana,Iberia Parish,73878
22047,Louisiana,Iberville Parish,33367
22049,Louisiana,Jackson Parish,16112
22051,Louisiana,Jefferson Parish,434767
22053,Louisiana,Jefferson Davis Parish,31301
22055,Louisiana,Lafayette Parish,230845
22057,Louisiana,Lafourche Parish,97141
22059,Louisiana,LaSalle Parish,14777
22061,Louisiana,Lincoln Parish,47414
22063,Louisiana,Livingston Parish,134053
22065,Louisiana,Madison Parish,11927
22067,Louisiana,Morehouse Parish,27057
22069,Louisiana,Natchitoches Parish,39138
22071,Louisiana,Orleans Parish,378715
22073,Louisiana,Ouachita Parish,156220
22075,Louisiana,Plaquemines Parish,23550
22077,Louisiana,Pointe Coupee Parish,22499
22079,Louisiana,Rapides Parish,132723
22081,Louisiana,Red River Parish,8894
22083,Louisiana,Richland Parish,20857
22085,Louisiana,Sabine Parish,24235
22087,Louisiana,St. Bernard Parish,43482
22089,Louisiana,St. Charles Parish,52617
22091,Louisiana,St. Helena Parish,10875
22093,Louisiana,St. James Parish,21752
22095,Louisiana,St. John the Baptist Parish,43761
22097,Louisiana,St. Landry Parish,83454
22099,Louisiana,St. Martin Parish,52936
22101,Louisiana,St. Mary Parish,53543
22103,Louisiana,St. Tammany Parish,242333
22105,Louisiana,Tangipahoa Parish,125412
22107,Louisiana,Tensas Parish,4908
22109,Louisiana,Terrebonne Parish,112749
22111,Louisiana,Union Parish,22344
22113,Louisiana,Vermilion Parish,59253
22115,Louisiana,Vernon Parish,52606
22117,Louisiana,Washington Parish,46419
22119,Louisiana,Webster Parish,40678
22121,Louisiana,West Baton Rouge Parish,24573
22123,Louisiana,West Carroll Parish,11465
22125,Louisiana,West Feliciana Parish,15444
22127,Louisiana,Winn Parish,14813
23001,Maine,Androscoggin County,107604
23003,Maine,Aroostook County,70055
23005,Maine,Cumberland County,285456
23007,Maine,Franklin County,30495
23009,Maine,Hancock County,54845
23011,Maine,Kennebec County,121164
23013,Maine,Knox County,39550
23015,Maine,Lincoln County,34088
23017,Maine,Oxford County,57277
23019,Maine,Penobscot County,153364
23021,Maine,Piscataquis County,17124
23023,Maine,Sagadahoc County,35013
23025,Maine,Somerset County,51706
23027,Maine,Waldo County,38940
23029,Maine,Washington County,32190
23031,Maine,York County,199431
24001,Maryland,Allegany County,73521
24003,Maryland,Anne Arundel County,555743
24005,Maryland,Baltimore County,823015
24009,Maryland,Calvert County,90484
24011,Maryland,Caroline County,32693
24013,Maryland,Carroll County,167564
24015,Maryland,Cecil County,101913
24017,Maryland,Charles County,152864
24019,Maryland,Dorchester County,32660
24021,Maryland,Frederick County,241409
24023,Maryland,Garrett County,29889
24025,Maryland,Harford County,249215
24027,Maryland,Howard County,304580
24029,Maryland,Kent County,19944
24031,Maryland,Montgomery County,1016677
24033,Maryland,Prince George's County,890081
24035,Maryland,Queen Anne's County,48517
24037,Maryland,St. Mary's County,109633
24039,Maryland,Somerset County,26273
24041,Maryland,Talbot County,37931
24043,Maryland,Washington County,149588
24045,Maryland,Wicomico County,100896
24047,Maryland,Worcester County,51620
24510,Maryland,Baltimore City,622104
25001,Massachusetts,Barnstable County,214990
25003,Massachusetts,Berkshire County,129585
25005,Massachusetts,Bristol County,552780
25007,Massachusetts,Dukes County,17256
25009,Massachusetts,Essex County,762550
25011,Massachusetts,Franklin County,71221
25013,Massachusetts,Hampden County,467319
25015,Massachusetts,Hampshire County,159596
25017,Massachusetts,Middlesex County,1552802
25019,Massachusetts,"Nantucket, Town and County of",10399
25021,Massachusetts,Norfolk County,687802
25023,Massachusetts,Plymouth County,501915
25025,Massachusetts,Suffolk County,755503
25027,Massachusetts,Worcester County,809106
26001,Michigan,Alcona County,10578
26003,Michigan,Alger County,9522
26005,Michigan,Allegan County,112531
26007,Michigan,Alpena County,29091
26009,Michigan,Antrim County,23370
26011,Michigan,Arenac County,15487
26013,Michigan,Baraga County,8695
26015,Michigan,Barry County,59097
26017,Michigan,Bay County,106832
26019,Michigan,Benzie County,17428
26021,Michigan,Berrien County,155252
26023,Michigan,Branch County,43649
26025,Michigan,Calhoun County,135012
26027,Michigan,Cass County,51910
26029,Michigan,Charlevoix County,26129
26031,Michigan,Cheboygan County,25726
26033,Michigan,Chippewa County,38696
26035,Michigan,Clare County,30569
26037,Michigan,Clinton County,76739
26039,Michigan,Crawford County,13904
26041,Michigan,Delta County,36905
26043,Michigan,Dickinson County,26098
26045,Michigan,Eaton County,108348
26047,Michigan,Emmet County,33140
26049,Michigan,Genesee County,415376
26051,Michigan,Gladwin County,25493
26053,Michigan,Gogebic County,15916
26055,Michigan,Grand Traverse County,89987
26057,Michigan,Gratiot County,41968
26059,Michigan,Hillsdale County,46101
26061,Michigan,Houghton County,36225
26063,Michigan,Huron County,32224
26065,Michigan,Ingham County,282234
26067,Michigan,Ionia County,64073
26069,Michigan,Iosco County,25429
26071,Michigan,Iron County,11516
26073,Michigan,Isabella County,70436
26075,Michigan,Jackson County,160369
26077,Michigan,Kalamazoo County,256725
26079,Michigan,Kalkaska County,17196
26081,Michigan,Kent County,621700
26083,Michigan,Keweenaw County,2191
26085,Michigan,Lake County,11386
26087,Michigan,Lapeer County,88389
26089,Michigan,Leelanau County,21747
26091,Michigan,Lenawee County,99188
26093,Michigan,Livingston County,184443
26095,Michigan,Luce County,6502
26097,Michigan,Mackinac County,11061
26099,Michigan,Macomb County,854769
26101,Michigan,Manistee County,24450
26103,Michigan,Marquette County,67700
26105,Michigan,Mason County,28605
26107,Michigan,Mecosta County,43108
26109,Michigan,Menominee County,23791
26111,Michigan,Midland County,83919
26113,Michigan,Missaukee County,15051
26115,Michigan,Monroe County,150376
26117,Michigan,Montcalm County,63105
26119,Michigan,Montmorency County,9350
26121,Michigan,Muskegon County,171008
26123,Michigan,Newaygo County,48001
26125,Michigan,Oakland County,1231640
26127,Michigan,Oceana County,26245
26129,Michigan,Ogemaw County,21234
26131,Michigan,Ontonagon County,6322
26133,Michigan,Osceola County,23259
26135,Michigan,Oscoda County,8379
26137,Michigan,Otsego County,24129
26139,Michigan,Ottawa County,272701
26141,Michigan,Presque Isle County,13062
26143,Michigan,Roscommon County,24014
26145,Michigan,Saginaw County,196542
26147,Michigan,St. Clair County,160469
26149,Michigan,St. Joseph County,60964
26151,Michigan,Sanilac County,41823
26153,Michigan,Schoolcraft County,8247
26155,Michigan,Shiawassee County,68900
26157,Michigan,Tuscola County,54263
26159,Michigan,Van Buren County,75455
26161,Michigan,Washtenaw County,354240
26163,Michigan,Wayne County,1775273
26165,Michigan,Wexford County,32645
27001,Minnesota,Aitkin County,15742
27003,Minnesota,Anoka County,339534
27005,Minnesota,Becker County,33231
27007,Minnesota,Beltrami County,45670
27009,Minnesota,Benton County,39214
27011,Minnesota,Big Stone County,5122
27013,Minnesota,Blue Earth County,65528
27015,Minnesota,Brown County,25332
27017,Minnesota,Carlton County,35460
27019,Minnesota,Carver County,95562
27021,Minnesota,Cass County,28555
27023,Minnesota,Chippewa County,12093
27025,Minnesota,Chisago County,53761
27027,Minnesota,Clay County,60661
27029,Minnesota,Clearwater County,8838
27031,Minnesota,Cook County,5200
27033,Minnesota,Cottonwood County,11616
27035,Minnesota,Crow Wing County,63208
27037,Minnesota,Dakota County,408509
27039,Minnesota,Dodge County,20349
27041,Minnesota,Douglas County,36545
27043,Minnesota,Faribault County,14191
27045,Minnesota,Fillmore County,20835
27047,Minnesota,Freeborn County,30948
27049,Minnesota,Goodhue County,46464
27051,Minnesota,Grant County,5989
27053,Minnesota,Hennepin County,1198778
27055,Minnesota,Houston County,18799
27057,Minnesota,Hubbard County,20658
27059,Minnesota,Isanti County,38204
27061,Minnesota,Itasca County,45564
27063,Minnesota,Jackson County,10260
27065,Minnesota,Kanabec County,15996
27067,Minnesota,Kandiyohi County,42410
27069,Minnesota,Kittson County,4503
27071,Minnesota,Koochiching County,13206
27073,Minnesota,Lac qui Parle County,7027
27075,Minnesota,Lake County,10777
27077,Minnesota,Lake of the Woods County,3929
27079,Minnesota,Le Sueur County,27810
27081,Minnesota,Lincoln County,5830
27083,Minnesota,Lyon County,25487
27085,Minnesota,McLeod County,35918
27087,Minnesota,Mahnomen County,5532
27089,Minnesota,Marshall County,9425
27091,Minnesota,Martin County,20422
27093,Minnesota,Meeker County,23119
27095,Minnesota,Mille Lacs County,25833
27097,Minnesota,Morrison County,32872
27099,Minnesota,Mower County,39327
27101,Minnesota,Murray County,8533
27103,Minnesota,Nicollet County,33032
27105,Minnesota,Nobles County,21617
27107,Minnesota,Norman County,6631
27109,Minnesota,Olmsted County,149226
27111,Minnesota,Otter Tail County,57581
27113,Minnesota,Pennington County,14118
27115,Minnesota,Pine County,29104
27117,Minnesota,Pipestone County,9270
27119,Minnesota,Polk County,31569
27121,Minnesota,Pope County,10932
27123,Minnesota,Ramsey County,526714
27125,Minnesota,Red Lake County,4057
27127,Minnesota,Redwood County,15744
27129,Minnesota,Renville County,15166
27131,Minnesota,Rice County,65049
27133,Minnesota,Rock County,9520
27135,Minnesota,Roseau County,15520
27137,Minnesota,St. Louis County,200540
27139,Minnesota,Scott County,137232
27141,Minnesota,Sherburne County,90158
27143,Minnesota,Sibley County,15072
27145,Minnesota,Stearns County,152092
27147,Minnesota,Steele County,36465
27149,Minnesota,Stevens County,9735
27151,Minnesota,Swift County,9546
27153,Minnesota,Todd County,24382
27155,Minnesota,Traverse County,3445
27157,Minnesota,Wabasha County,21443
27159,Minnesota,Wadena County,13804
27161,Minnesota,Waseca County,19098
27163,Minnesota,Washington County,246603
27165,Minnesota,Watonwan County,11137
27167,Minnesota,Wilkin County,6557
27169,Minnesota,Winona County,51232
27171,Minnesota,Wright County,128470
27173,Minnesota,Yellow Medicine County,10143
28001,Mississippi,Adams County,32090
28003,Mississippi,Alcorn County,37316
28005,Mississippi,Amite County,12899
28007,Mississippi,Attala County,19317
28009,Mississippi,Benton County,8571
28011,Mississippi,Bolivar County,34049
28013,Mississippi,Calhoun County,14734
28015,Mississippi,Carroll County,10385
28017,Mississippi,Chickasaw County,17311
28019,Mississippi,Choctaw County,8371
28021,Mississippi,Claiborne County,9253
28023,Mississippi,Clarke County,16415
28025,Mississippi,Clay County,20408
28027,Mississippi,Coahoma County,25182
28029,Mississippi,Copiah County,28921
28031,Mississippi,Covington County,19423
28033,Mississippi,DeSoto County,168240
28035,Mississippi,Forrest County,77059
28037,Mississippi,Franklin County,7931
28039,Mississippi,George County,23159
28041,Mississippi,Greene County,14244
28043,Mississippi,Grenada County,21612
28045,Mississippi,Hancock County,45566
28047,Mississippi,Harrison County,196500
28049,Mississippi,Hinds County,244899
28051,Mississippi,Holmes County,18428
28053,Mississippi,Humphreys County,8922
28055,Mississippi,Issaquena County,1395
28057,Mississippi,Itawamba County,23434
28059,Mississippi,Jackson County,140450
28061,Mississippi,Jasper County,16470
28063,Mississippi,Jefferson County,7629
28065,Mississippi,Jefferson Davis County,11948
28067,Mississippi,Jones County,68961
28069,Mississippi,Kemper County,10294
28071,Mississippi,Lafayette County,51318
28073,Mississippi,Lamar County,58801
28075,Mississippi,Lauderdale County,80254
28077,Mississippi,Lawrence County,12514
28079,Mississippi,Leake County,23389
28081,Mississippi,Lee County,85340
28083,Mississippi,Leflore County,31607
28085,Mississippi,Lincoln County,34810
28087,Mississippi,Lowndes County,59922
28089,Mississippi,Madison County,100412
28091,Mississippi,Marion County,26180
28093,Mississippi,Marshall County,36515
28095,Mississippi,Monroe County,36116
28097,Mississippi,Montgomery County,10553
28099,Mississippi,Neshoba County,29507
28101,Mississippi,Newton County,21689
28103,Mississippi,Noxubee County,11089
28105,Mississippi,Oktibbeha County,49043
28107,Mississippi,Panola County,34402
28109,Mississippi,Pearl River County,55072
28111,Mississippi,Perry County,12131
28113,Mississippi,Pike County,40014
28115,Mississippi,Pontotoc County,30897
28117,Mississippi,Prentiss County,25388
28119,Mississippi,Quitman County,7803
28121,Mississippi,Rankin County,146767
28123,Mississippi,Scott County,28273
28125,Mississippi,Sharkey County,4708
28127,Mississippi,Simpson County,27500
28129,Mississippi,Smith County,16225
28131,Mississippi,Stone County,18016
28133,Mississippi,Sunflower County,27997
28135,Mississippi,Tallahatchie County,15081
28137,Mississippi,Tate County,28373
28139,Mississippi,Tippah County,22084
28141,Mississippi,Tishomingo County,19529
28143,Mississippi,Tunica County,10560
28145,Mississippi,Union County,27754
28147,Mississippi,Walthall County,14931
28149,Mississippi,Warren County,48218
28151,Mississippi,Washington County,49688
28153,Mississippi,Wayne County,20539
28155,Mississippi,Webster County,9987
28157,Mississippi,Wilkinson County,9381
28159,Mississippi,Winston County,18788
28161,Mississippi,Yalobusha County,12373
28163,Mississippi,Yazoo County,27883
29001,Missouri,Adair County,25572
29003,Missouri,Andrew County,17445
29005,Missouri,Atchison County,5449
29007,Missouri,Audrain County,25661
29009,Missouri,Barry County,35572
29011,Missouri,Barton County,12275
29013,Missouri,Bates County,16550
29015,Missouri,Benton County,18932
29017,Missouri,Bollinger County,12490
29019,Missouri,Boone County,170773
29021,Missouri,Buchanan County,89631
29023,Missouri,Butler County,43083
29025,Missouri,Caldwell County,9097
29027,Missouri,Callaway County,44359
29029,Missouri,Camden County,43862
29031,Missouri,Cape Girardeau County,77320
29033,Missouri,Carroll County,9127
29035,Missouri,Carter County,6291
29037,Missouri,Cass County,100641
29039,Missouri,Cedar County,13913
29041,Missouri,Chariton County,7628
29043,Missouri,Christian County,80899
29045,Missouri,Clark County,6910
29047,Missouri,Clay County,230473
29049,Missouri,Clinton County,20571
29051,Missouri,Cole County,76699
29053,Missouri,Cooper County,17647
29055,Missouri,Crawford County,24543
29057,Missouri,Dade County,7578
29059,Missouri,Dallas County,16535
29061,Missouri,Daviess County,8294
29063,Missouri,DeKalb County,12840
29065,Missouri,Dent County,15730
29067,Missouri,Douglas County,13515
29069,Missouri,Dunklin County,31712
29071,Missouri,Franklin County,101816
29073,Missouri,Gasconade County,14901
29075,Missouri,Gentry County,6775
29077,Missouri,Greene County,283870
29079,Missouri,Grundy County,10355
29081,Missouri,Harrison County,8741
29083,Missouri,Henry County,22059
29085,Missouri,Hickory County,9305
29087,Missouri,Holt County,4568
29089,Missouri,Howard County,10257
29091,Missouri,Howell County,40393
29093,Missouri,Iron County,10344
29095,Missouri,Jackson County,679996
29097,Missouri,Jasper County,116398
29099,Missouri,Jefferson County,221396
29101,Missouri,Johnson County,54572
29103,Missouri,Knox County,4067
29105,Missouri,Laclede County,35667
29107,Missouri,Lafayette County,32943
29109,Missouri,Lawrence County,38185
29111,Missouri,Lewis County,10152
29113,Missouri,Lincoln County,53860
29115,Missouri,Linn County,12368
29117,Missouri,Livingston County,14871
29119,Missouri,McDonald County,22558
29121,Missouri,Macon County,15544
29123,Missouri,Madison County,12431
29125,Missouri,Maries County,9018
29127,Missouri,Marion County,28904
29129,Missouri,Mercer County,3695
29131,Missouri,Miller County,25092
29133,Missouri,Mississippi County,14282
29135,Missouri,Moniteau County,15748
29137,Missouri,Monroe County,8774
29139,Missouri,Montgomery County,11965
29141,Missouri,Morgan County,20265
29143,Missouri,New Madrid County,18365
29145,Missouri,Newton County,58845
29147,Missouri,Nodaway County,23261
29149,Missouri,Oregon County,10996
29151,Missouri,Osage County,13688
29153,Missouri,Ozark County,9560
29155,Missouri,Pemiscot County,17823
29157,Missouri,Perry County,19072
29159,Missouri,Pettis County,42205
29161,Missouri,Phelps County,44807
29163,Missouri,Pike County,18669
29165,Missouri,Platte County,93310
29167,Missouri,Polk County,30974
29169,Missouri,Pulaski County,53748
29171,Missouri,Putnam County,4875
29173,Missouri,Ralls County,10192
29175,Missouri,Randolph County,24940
29177,Missouri,Ray County,23039
29179,Missouri,Reynolds County,6599
29181,Missouri,Ripley County,14032
29183,Missouri,St. Charles County,373495
29185,Missouri,St. Clair County,9487
29186,Missouri,Ste. Genevieve County,17778
29187,Missouri,St. Francois County,66215
29189,Missouri,St. Louis County,1001444
29195,Missouri,Saline County,23252
29197,Missouri,Schuyler County,4358
29199,Missouri,Scotland County,4921
29201,Missouri,Scott County,39290
29203,Missouri,Shannon County,8297
29205,Missouri,Shelby County,6177
29207,Missouri,Stoddard County,29780
29209,Missouri,Stone County,31297
29211,Missouri,Sullivan County,6448
29213,Missouri,Taney County,53575
29215,Missouri,Texas County,25636
29217,Missouri,Vernon County,20949
29219,Missouri,Warren County,32999
29221,Missouri,Washington County,25172
29223,Missouri,Wayne County,13404
29225,Missouri,Webster County,36466
29227,Missouri,Worth County,2090
29229,Missouri,Wright County,18473
29510,Missouri,"St. Louis, City of",318416
30001,Montana,Beaverhead County,9341
30003,Montana,Big Horn County,13042
30005,Montana,Blaine County,6604
